year,topic,article_label,short_label_article,compact_label,plot_label,broader_theme,mean_prevalence,n_documents,prevalence_smooth
2023,1,"Phylogenomics, taxonomy and evolutionary relationships",Phylogenomics/taxonomy,T1. Phylogenomics/taxonomy,"T1. Phylogenomics, taxonomy and evolutionary relationships",Evolutionary relationships and taxonomy,0.055808614875280806,31,0.07875228034183021
2024,1,"Phylogenomics, taxonomy and evolutionary relationships",Phylogenomics/taxonomy,T1. Phylogenomics/taxonomy,"T1. Phylogenomics, taxonomy and evolutionary relationships",Evolutionary relationships and taxonomy,0.09987220899686812,21,0.08976288152608784
2025,1,"Phylogenomics, taxonomy and evolutionary relationships",Phylogenomics/taxonomy,T1. Phylogenomics/taxonomy,"T1. Phylogenomics, taxonomy and evolutionary relationships",Evolutionary relationships and taxonomy,0.11360782070611462,39,0.1465461776135155
2026,1,"Phylogenomics, taxonomy and evolutionary relationships",Phylogenomics/taxonomy,T1. Phylogenomics/taxonomy,"T1. Phylogenomics, taxonomy and evolutionary relationships",Evolutionary relationships and taxonomy,0.22615850313756378,11,0.22615850313756378
1950,2,Symbiotic bacteria and probiotics,Symbiotic bacteria/probiotics,T2. Symbiotic bacteria/probiotics,T2. Symbiotic bacteria and probiotics,Microbiome and symbiosis,0.0033261175261101975,2,0.0033261175261101975
1951,2,Symbiotic bacteria and probiotics,Symbiotic bacteria/probiotics,T2. Symbiotic bacteria/probiotics,T2. Symbiotic bacteria and probiotics,Microbiome and symbiosis,0,0,0.0011087058420367324
1952,2,Symbiotic bacteria and probiotics,Symbiotic bacteria/probiotics,T2. Symbiotic bacteria/probiotics,T2. Symbiotic bacteria and probiotics,Microbiome and symbiosis,0,0,0
1953,2,Symbiotic bacteria and probiotics,Symbiotic bacteria/probiotics,T2. Symbiotic bacteria/probiotics,T2. Symbiotic bacteria and probiotics,Microbiome and symbiosis,0,0,0
1954,2,Symbiotic bacteria and probiotics,Symbiotic bacteria/probiotics,T2. Symbiotic bacteria/probiotics,T2. Symbiotic bacteria and probiotics,Microbiome and symbiosis,0,0,0
1955,2,Symbiotic bacteria and probiotics,Symbiotic bacteria/probiotics,T2. Symbiotic bacteria/probiotics,T2. Symbiotic bacteria and probiotics,Microbiome and symbiosis,0,0,0
