doc_id,article_id,title,year,doi,source_database,genus_raw,genus_for_stm,n_genera_mentioned,mentioned_genera
401,401,"The microbiota of stingless bees: adaptive advantages in their development, feeding, and protection",2024,10.1127/entomologia/2024/2360,Web of Science,Unclassified,Unclassified,0,
402,402,A COMPARATIVE-STUDY OF ESTERASE ISOZYMES IN HYMENOPTERA,1987,,Web of Science,Trigona,Trigona,1,Trigona
403,403,A COMPARATIVE-STUDY OF ESTERASE ISOZYMES IN 6 SPECIES OF APIS AND 9 GENERA OF APOIDEA,1986,10.1080/00218839.1986.11100705,Web of Science,Trigona,Trigona,1,Trigona
404,404,Mitochondrial sequencing and geometric morphometrics suggest two clades in the Tetragonilla collina (Apidae: Meliponini) population of Thailand,2017,10.1007/s13592-017-0517-3,Web of Science,Unclassified,Unclassified,0,
405,405,Genes versus environment: geography and phylogenetic relationships shape the chemical profiles of stingless bees on a global scale,2013,10.1098/rspb.2013.0680,Web of Science,Unclassified,Unclassified,0,
406,406,"DIET INFLUENCE ON THE EVOLUTION OF THE DNA CONTENT AND NUCLEAR-SURFACE OF HYPOPHARYNGEAL GLAND-CELLS FROM SCAPTOTRIGONA-POSTICA (HYMENOPTERA, APIDAE)",1983,,Web of Science,Scaptotrigona,Scaptotrigona,1,Scaptotrigona
407,407,"POLYPLOIDY PATTERN IN LARVAL SILK GLANDS OF MELIPONA-QUADRIFASCIATA (HYMENOPTERA, APOIDEA)",1970,,Web of Science,Melipona,Melipona,1,Melipona
408,408,SEX DETERMINATION IN BEES .11. PRODUCTION OF DIPLOID MALES AND SEX DETERMINATION IN MELIPONA-QUADRIFASCIATA,1979,10.1080/00218839.1979.11099950,Web of Science,Melipona,Melipona,1,Melipona
409,409,"POST-EMBRYONIC CHANGES IN MELIPONA-QUADRIFASCIATA ANTHIDIOIDES LEP. (HYM., APOIDEA) .5. POLYPLOIDY IN LARVAL MALPIGHIAN TUBULES",1969,,Web of Science,Melipona,Melipona,1,Melipona
410,410,SEX DETERMINATION IN BEES .4. GENETIC-CONTROL OF JUVENILE-HORMONE PRODUCTION IN MELIPONA-QUADRIFASCIATA (APIDAE),1975,,Web of Science,Melipona,Melipona,1,Melipona
