doc_index,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,doc_id,article_id,title,year,source_database,genus_raw,genus_for_stm,mentioned_genera,journal,doi
379,0.003496023230300131,1.068953117890217e-6,8.178858711931944e-4,8.310589404307049e-5,4.7035641524770277e-4,0.006147219179240527,0.9599016034143683,0.001684560447726476,4.9970924183794364e-5,0.027348205670579055,379,379,Isolation and characterization of 15 microsatellite loci in the stingless bee Plebeia remota (Apidae: Meliponini),2011,Scopus,Plebeia,Plebeia,Plebeia,CONSERVATION GENETICS RESOURCES,10.1007/s12686-010-9369-0
380,0.7842296007650148,1.9188959520025366e-4,0.0017895858296859744,0.014274429367308272,0.004625575846311439,0.16790605022673255,0.019990084338715366,0.0035070868860104256,4.0129678154040763e-4,0.0030844003634805865,380,380,A molecular phylogeny and the evolution of nest architecture and behavior in Trigona s.s. (Hymenoptera: Apidae: Meliponini),2008,Scopus,Trigona,Trigona,Trigona,APIDOLOGIE,10.1051/apido:2007051
381,0.9591318333729163,5.7642174267655334e-5,4.911781264556295e-4,0.005836333772903017,0.007037186227669663,0.016171083315730105,0.007409893178565927,0.002942706906524016,1.8559905739237001e-4,7.365438675757135e-4,381,381,A molecular phylogeny of the Old World stingless bees (Hymenoptera: Apidae: Meliponini) and the non-monophyly of the large genus Trigona,2007,Scopus,Multiple,Multiple,Heterotrigona; Melipona; Trigona,SYSTEMATIC ENTOMOLOGY,10.1111/j.1365-3113.2006.00362.x
382,0.003289769219736446,4.094928520325526e-5,0.0013529966376559907,0.001589523604652061,9.57084738684556e-4,0.497701516097063,0.289323262169388,0.0014583304070199267,2.034983349936487e-4,0.20408306950560312,382,382,Development of a species-diagnostic marker and its application for population genetics studies of the stingless bee Trigona collina in Thailand,2010,Scopus,Trigona,Trigona,Trigona,GENETICS AND MOLECULAR RESEARCH,10.4238/vol9-2gmr775
383,6.638573973828353e-4,0.004247288770276891,0.004878736357725356,5.910587302070946e-5,0.0017560447127645488,6.881256374590179e-4,0.0011616968719674128,0.0025113618948342624,0.9835872355279953,4.46546956574179e-4,383,383,Extinction of anciently associated gut bacterial symbionts in a clade of stingless bees,2021,Scopus,Melipona,Melipona,Melipona,ISME JOURNAL,10.1038/s41396-021-01000-1
384,0.7844757302729086,3.657908968862131e-5,0.002647042257294645,0.0029090447410993633,0.008165794184093907,0.03032588921927707,0.15551234849751688,0.008543826634719639,4.450912684886354e-4,0.006938653834912275,384,384,Molecular markers as a tool for population and evolutionary studies of stingless bees,2006,Web of Science,Unclassified,Unclassified,,APIDOLOGIE,10.1051/apido:2006021
385,0.0039041457969569483,1.400389243036894e-4,6.4068985582181e-4,0.003024157488453185,0.003901071475923565,0.004989834278666426,0.006853024664534036,0.9638594242705284,0.0023546415488250243,0.01033297169598654,385,385,Vitellogenin gene expression in stingless bee workers differing in egg-laying behavior,2007,Web of Science,Multiple,Multiple,Frieseomelitta; Melipona; Scaptotrigona,INSECTES SOCIAUX,10.1007/s00040-007-0913-1
386,0.0011910316470112117,0.004742601136226326,0.0030867419466377504,0.0027870973695344804,0.023575663330462713,0.003205298642944688,0.014156816883971033,0.741702442696582,0.004334825638997317,0.2012174807076325,386,386,EVOLUTION OF THE MECHANISM OF CASTE DETERMINATION IN THE GENUS MELIPONA,1950,Web of Science,Multiple,Multiple,Lestrimelitta; Melipona; Trigona,EVOLUTION,10.2307/2405530
387,1.8907564546339812e-5,4.5991557093924237e-4,9.389095832875244e-4,1.9269495576270028e-5,0.003404041225466777,0.003815144893334586,0.008368412120401462,0.003176081378961233,1.789069223735302e-6,0.9797975290982628,387,387,GENETIC-VARIABILITY IN NATURAL-POPULATIONS OF BRAZILIAN SOCIAL BEES .2. ELECTROPHORETIC DATA FOR PGM AND MDH GIVE EVIDENCE FOR MULTIPLE FERTILIZATIONS IN STINGLESS BEES,1991,Web of Science,Multiple,Multiple,Melipona; Partamona; Plebeia; Scaptotrigona,REVISTA BRASILEIRA DE GENETICA,
388,1.9145973223738168e-5,5.559405307979911e-4,9.701829246808857e-4,2.1957702691374587e-5,0.003828201776628842,0.003766190252481542,0.007385383985728688,0.004083527113582879,2.0707840165333103e-6,0.9793673989561675,388,388,"GENETIC-VARIABILITY IN NATURAL-POPULATIONS OF BRAZILIAN SOCIAL BEES .3. ELECTROPHORETIC DATA FOR ME, GPD, SOD AND IDH",1991,Web of Science,Multiple,Multiple,Friesella; Melipona; Partamona; Scaptotrigona,REVISTA BRASILEIRA DE GENETICA,
