genus_for_stm,topic,mean_prevalence,n_documents,topic_mean,prevalence_lift,short_label
Multiple,6,0.18162453220419886,90,0.10239423901694714,0.07923029318725172,T6: numts / restriction / coi
Multiple,7,0.08236342872943811,90,0.20464471646307986,-0.12228128773364175,T7: population / populations / microsatellite
Multiple,8,0.09300091359466366,90,0.08026639149777326,0.012734522096890397,T8: queens / caste / sex
Multiple,9,0.07476726769195016,90,0.06756067380525382,0.007206593886696339,T9: microbiome / exposure / malpighian
Multiple,10,0.08082523784901441,90,0.09605418278479429,-0.015228944935779878,T10: subspecies / rapd / polymorphic
Other_rare_genera,1,0.05772304143083857,23,0.11514395058097855,-0.05742090915013998,T1: clades / taxonomy / ecology
Other_rare_genera,2,0.0478687137478477,23,0.07132679970619538,-0.023458085958347676,T2: lactic / lab / probiotic
Other_rare_genera,3,0.05089765004057743,23,0.06520410862264411,-0.01430645858206668,T3: production / virus / viruses
Other_rare_genera,4,0.09990737297163213,23,0.061510054866944414,0.03839731810468772,T4: mitogenome / rearrangement / complete
Other_rare_genera,5,0.17623685968828479,23,0.1358948826553891,0.04034197703289569,T5: heterochromatin / karyotype / cytogenetic
Other_rare_genera,6,0.19332086991763772,23,0.10239423901694714,0.09092663090069059,T6: numts / restriction / coi
Other_rare_genera,7,0.25849946060213125,23,0.20464471646307986,0.05385474413905139,T7: population / populations / microsatellite
Other_rare_genera,8,0.011961858086787156,23,0.08026639149777326,-0.0683045334109861,T8: queens / caste / sex
Other_rare_genera,9,0.042602981747425196,23,0.06756067380525382,-0.024957692057828627,T9: microbiome / exposure / malpighian
Other_rare_genera,10,0.06098119176683811,23,0.09605418278479429,-0.035072991017956176,T10: subspecies / rapd / polymorphic
Partamona,1,0.07274161436538801,29,0.11514395058097855,-0.042402336215590544,T1: clades / taxonomy / ecology
Partamona,2,7.393865916405881e-4,29,0.07132679970619538,-0.07058741311455478,T2: lactic / lab / probiotic
Partamona,3,0.004239332486338867,29,0.06520410862264411,-0.06096477613630524,T3: production / virus / viruses
Partamona,4,0.004220400633139857,29,0.061510054866944414,-0.057289654233804554,T4: mitogenome / rearrangement / complete
Partamona,5,0.41738562701318266,29,0.1358948826553891,0.28149074435779353,T5: heterochromatin / karyotype / cytogenetic
Partamona,6,0.056028960613419505,29,0.10239423901694714,-0.04636527840352763,T6: numts / restriction / coi
Partamona,7,0.28203020556636776,29,0.20464471646307986,0.07738548910328791,T7: population / populations / microsatellite
Partamona,8,0.01240694125682651,29,0.08026639149777326,-0.06785945024094675,T8: queens / caste / sex
Partamona,9,0.06857092767604152,29,0.06756067380525382,0.0010102538707876946,T9: microbiome / exposure / malpighian
Partamona,10,0.08163660379765464,29,0.09605418278479429,-0.014417578987139648,T10: subspecies / rapd / polymorphic
Plebeia,1,0.029989192442172623,8,0.11514395058097855,-0.08515475813880594,T1: clades / taxonomy / ecology
