genus_for_stm,topic,mean_prevalence,n_documents,topic_mean,prevalence_lift,short_label
Tetragonisca,10,0.17887045166964244,30,0.09334176291741081,0.08552868875223163,T10: dehydrogenase / subspecies / polymorphic
Tetragonula,1,0.15245926014567673,22,0.11421231513479953,0.038246945010877206,T1: clades / ecology / taxonomy
Tetragonula,2,0.04310770526850374,22,0.07241076790995458,-0.02930306264145084,T2: lactic / lab / probiotic
Tetragonula,3,0.04238633848875221,22,0.0657164603302209,-0.02333012184146869,T3: production / virus / viruses
Tetragonula,4,0.14890810946488006,22,0.06188316128342289,0.08702494818145717,T4: mitogenome / rearrangement / heteroplasmy
Tetragonula,5,0.0018591531748494532,22,0.13520485681215746,-0.13334570363730802,T5: karyotype / cytogenetic / cytogenetics
Tetragonula,6,0.18687932963098527,22,0.10226106699160106,0.08461826263938421,T6: numts / restriction / coi
Tetragonula,7,0.18102739647380162,22,0.20744113638324962,-0.02641373990944801,T7: population / populations / microsatellite
Tetragonula,8,0.09803682125407627,22,0.08411383596680397,0.013922985287272302,T8: queens / caste / sex
Tetragonula,9,0.12880778208675084,22,0.06341463627037922,0.06539314581637162,T9: microbiome / detoxification / exposure
Tetragonula,10,0.01652810401172375,22,0.09334176291741081,-0.07681365890568706,T10: dehydrogenase / subspecies / polymorphic
Trigona,1,0.10969169019438749,22,0.11421231513479953,-0.004520624940412041,T1: clades / ecology / taxonomy
Trigona,2,0.06223102070766299,22,0.07241076790995458,-0.010179747202291596,T2: lactic / lab / probiotic
Trigona,3,0.11038375568857875,22,0.0657164603302209,0.04466729535835785,T3: production / virus / viruses
Trigona,4,0.03754870952345057,22,0.06188316128342289,-0.02433445175997232,T4: mitogenome / rearrangement / heteroplasmy
Trigona,5,0.2365245092438012,22,0.13520485681215746,0.10131965243164373,T5: karyotype / cytogenetic / cytogenetics
Trigona,6,0.11525071678246117,22,0.10226106699160106,0.012989649790860106,T6: numts / restriction / coi
Trigona,7,0.1234006750250199,22,0.20744113638324962,-0.08404046135822972,T7: population / populations / microsatellite
Trigona,8,0.006804208993515712,22,0.08411383596680397,-0.07730962697328826,T8: queens / caste / sex
Trigona,9,0.0025984623623990376,22,0.06341463627037922,-0.06081617390798018,T9: microbiome / detoxification / exposure
Trigona,10,0.1955662514787232,22,0.09334176291741081,0.10222448856131239,T10: dehydrogenase / subspecies / polymorphic
Unclassified,1,0.463482114361461,4,0.11421231513479953,0.34926979922666146,T1: clades / ecology / taxonomy
Unclassified,2,0.020363409362871003,4,0.07241076790995458,-0.05204735854708358,T2: lactic / lab / probiotic
Unclassified,3,0.10086227634141862,4,0.0657164603302209,0.03514581601119772,T3: production / virus / viruses
Unclassified,4,0.0059921331202558905,4,0.06188316128342289,-0.055891028163166996,T4: mitogenome / rearrangement / heteroplasmy
Unclassified,5,7.759595190782881e-4,4,0.13520485681215746,-0.13442889729307916,T5: karyotype / cytogenetic / cytogenetics
Unclassified,6,0.019064326738081623,4,0.10226106699160106,-0.08319674025351945,T6: numts / restriction / coi
Unclassified,7,0.21614839067668973,4,0.20744113638324962,0.008707254293440103,T7: population / populations / microsatellite
Unclassified,8,0.028445443848652573,4,0.08411383596680397,-0.055668392118151395,T8: queens / caste / sex
