doc_index,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,doc_id,article_id,title,year,source_database,genus_raw,genus_for_stm,mentioned_genera,region_for_stm,subtribe_for_stm,article_region_assignment,article_subtribe_assignment,studied_genera,n_studied_genera,journal,doi
200,0.005638127240607264,0.008968152352953103,0.009049395474399978,0.02633870958091142,0.003782346758023116,0.0037307900424193036,0.001981227448627617,0.7224770642126732,0.2158517709933759,0.002182415896008583,200,200,Investigating the molecular basis of cleptobiosis in eusocial stingless bees (Apidae: Hymenoptera),2025,Scopus,Multiple,Multiple,Lestrimelitta; Nannotrigona; Scaptotrigona; Tetragonisca,Neotropical,Meliponina,Neotropical,Meliponina,Lestrimelitta; Nannotrigona; Scaptotrigona; Tetragonisca,4,COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY - PART D: GENOMICS AND PROTEOMICS,10.1016/j.cbd.2025.101645
201,0.007347493113117195,6.883655556128005e-5,2.2650766848798825e-4,0.001407145747861268,0.9544810357146861,0.0028921992377769165,0.020318078498337687,0.001953167418932049,5.498257366356017e-4,0.010755710308604064,201,201,"New occurrence of B chromosomes in Partamona helleri (Friese, 1900) (Hymenoptera, Meliponini)",2009,Scopus,Partamona,Partamona,Partamona,Neotropical,Meliponina,Neotropical,Meliponina,Partamona,1,GENETICS AND MOLECULAR BIOLOGY,10.1590/s1415-47572009005000065
202,0.2815346361860998,0.007429048460266781,0.008203726723858972,0.0012444654124232199,0.0481175123431412,0.0105333963501894,0.01148707564137722,0.008718627235153644,0.614623836761037,0.008107674886452731,202,202,Comparative analysis of the gut microbiota of the sympatric stingless bee species Melipona beecheii and Melipona yucatanica,2026,Scopus,Melipona,Melipona,Melipona,Neotropical,Meliponina,Neotropical,Meliponina,Melipona,1,BRAZILIAN JOURNAL OF MICROBIOLOGY,10.1007/s42770-026-01905-z
203,0.006952136772764073,0.0018498272000876165,4.448248534023188e-4,0.9849807830088912,8.645402714078961e-4,0.0035471330701324325,2.2227022273019098e-4,9.576340485297357e-4,8.712194321851884e-5,9.372860883573676e-5,203,203,The Complete Mitochondrial Genome of Lepidotrigona flavibasis (Hymenoptera: Meliponini) and High Gene Rearrangement in Lepidotrigona Mitogenomes,2021,Scopus,Multiple,Multiple,Lepidotrigona; Melipona,Multi-region,Multi-subtribe,Multi-region article,Multi-subtribe article,Lepidotrigona; Melipona,2,JOURNAL OF INSECT SCIENCE,10.1093/jisesa/ieab038
204,0.0028269702971223196,7.344158307904597e-4,0.9565352796470431,0.0017479812624656991,2.53384216878066e-5,0.033696214103884764,9.786461141196895e-4,5.913965235286072e-4,0.002726965982785578,1.3679181657260447e-4,204,204,Taxonomic patterns of host plants and its impact on honey properties by two sympatric Afrotropical stingless bee species in Zanzibar (Tanzania),2024,Scopus,Multiple,Multiple,Hypotrigona; Meliponula,Afrotropical,Hypotrigonina,Afrotropical,Hypotrigonina,Hypotrigona; Meliponula,2,AFRICAN JOURNAL OF ECOLOGY,10.1111/aje.13257
205,0.06434827652164372,3.278896939452686e-5,5.425143871863219e-4,0.0018458321122658827,0.7841842766874164,0.004809602954604336,0.1330736028441348,0.002499742860367809,6.309842235591846e-4,0.008032378439427112,205,205,Inter- and intra-population B chromosome variability in Partamona helleri (Apidae: Meliponini),2021,Scopus,Partamona,Partamona,Partamona,Neotropical,Meliponina,Neotropical,Meliponina,Partamona,1,APIDOLOGIE,10.1007/s13592-021-00904-3
206,0.02335305643543474,0.026269408333775057,0.05998409934520191,0.5013854474067776,0.0062685507518882655,0.024499598920486313,0.005126598954932965,0.34556665322380453,0.0055523033324791846,0.0019942832952194066,206,206,Insights into miRNAs of the Stingless Bee Melipona quadrifasciata,2025,Scopus,Melipona,Melipona,Melipona,Neotropical,Meliponina,Neotropical,Meliponina,Melipona,1,NON-CODING RNA,10.3390/ncrna11030048
207,0.006784534432513827,1.43866953828766e-4,5.719509726260524e-4,6.027116372258683e-4,0.630791592898832,0.007191603439742119,0.12878945300635622,0.006424973624768927,0.0013404127783578582,0.21735890025574817,207,207,"Unprecedented record of ten novel B chromosomes in the stingless bee Partamona helleri (Apidae, Meliponini)",2014,Scopus,Partamona,Partamona,Partamona,Neotropical,Meliponina,Neotropical,Meliponina,Partamona,1,APIDOLOGIE,10.1007/s13592-013-0257-y
208,0.0029203004455992648,2.9802180190399386e-6,9.358626082568384e-4,5.545246583189459e-5,8.984896259781863e-4,0.006869681235266624,0.9373854642136982,0.002012901988369516,2.0706444218659333e-4,0.04871180275679384,208,208,"Genetic differentiation in the stingless bee, scaptotrigona xanthotricha moure, 1950 (Apidae, Meliponini): A species with wide geographic distribution in the atlantic rainforest",2014,Scopus,Scaptotrigona,Scaptotrigona,Scaptotrigona,Neotropical,Meliponina,Neotropical,Meliponina,Scaptotrigona,1,JOURNAL OF HEREDITY,10.1093/jhered/esu031
209,0.4751280715901698,0.002283164274760819,0.008852722862375036,0.39509327135870337,0.0538914090271198,0.010674616514499606,0.006033224148435513,0.04585824495977873,0.001905393898784868,2.798813653717315e-4,209,209,Insights from Melipona bicolor hybrid genome assembly: a stingless bee genome with chromosome-level scaffold,2024,Scopus,Melipona,Melipona,Melipona,Neotropical,Meliponina,Neotropical,Meliponina,Melipona,1,BMC GENOMICS,10.1186/s12864-024-10075-x
210,3.313562962521628e-4,4.072800943670664e-4,8.969984722972058e-4,5.568138921498146e-5,0.004038323981985185,0.011818210319818319,0.035889316409288524,0.004240737495179567,0.0014056133759519213,0.9409164821656452,210,210,"Molecular Marker to identify two stingless bee species: Tetragonisca angustula and Tetragoniscafiebrigi (Hymenoptera, Meliponinae)",2012,Scopus,Tetragonisca,Tetragonisca,Tetragonisca,Neotropical,Meliponina,Neotropical,Meliponina,Tetragonisca,1,SOCIOBIOLOGY,10.13102/sociobiology.v59i1.671
211,0.7748669229503862,4.75457397829127e-5,0.01456989815473903,0.005376438970448862,0.00360967032977465,0.18184035942393867,0.017797900622153962,5.99684156541817e-4,9.515990809199894e-4,3.399805713136595e-4,211,211,"Combining morphology and DNA barcoding resolves the taxonomy of Western Malagasy Liotrigona Moure, 1961 (Hymenoptera: Apidae: Meliponini)",2010,Scopus,Liotrigona,Other_rare_genera,Liotrigona,Afrotropical,Hypotrigonina,Afrotropical,Hypotrigonina,Liotrigona,1,AFRICAN INVERTEBRATES,10.5733/afin.051.0210
212,0.0014807392481231672,9.054953465645816e-4,0.0024805182538621467,2.793240194903841e-4,0.01279821087764929,0.014123330050616662,0.07670050937197957,0.038067359160963446,0.003988797999026172,0.8491757156717247,212,212,"Allozyme variation in the stingless bee Trigona fuscobalteata (hymenoptera, apidae) from Peninsular Malaysia",1986,Scopus,Trigona,Trigona,Trigona,Neotropical,Meliponina,Neotropical,Meliponina,Trigona,1,COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY -- PART B: BIOCHEMISTRY AND,10.1016/0305-0491(86)90307-x
213,0.002553826249777532,6.054217332951982e-4,0.0023142604826225195,0.0020865186384404102,0.0014383987384821275,0.0010730886594854385,0.0046628714007376565,0.9793793751223543,0.002212303356921963,0.0036739356178832915,213,213,Sex determination in bees. III. Caste determination and genetic control in Melipona,1974,Scopus,Melipona,Melipona,Melipona,Neotropical,Meliponina,Neotropical,Meliponina,Melipona,1,INSECTES SOCIAUX,10.1007/bf02331565
214,0.14552593691985788,0.0031612453704623583,0.005247786018626307,0.006032923656532188,0.011752283942570035,0.16307558240138323,0.43268124129180946,0.031462960401748334,0.003515119834559982,0.19754492016245034,214,214,Genetic architecture of the Tetragonula carbonaria species complex of Australian stingless bees (Hymenoptera: Apidae: Meliponini),2014,Scopus,Tetragonula,Tetragonula,Tetragonula,Indo-Australasian,Hypotrigonina,Indo-Australasian,Hypotrigonina,Tetragonula,1,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,10.1111/bij.12292
215,0.0018566457637993747,0.8491397437081499,0.0036536971624805572,0.11944011197880111,9.815889247107397e-4,0.021700299333459933,4.474478944552204e-5,8.422432539953723e-4,0.0020986188907533986,2.4230619440337094e-4,215,215,"Apilactobacillus apisilvae sp. nov., Nicolia spurrieriana gen. nov. sp. nov., Bombilactobacillus folatiphilus sp. nov. and Bombilactobacillus thymidiniphilus sp. nov., four new lactic acid bacterial isolates from stingless bees Tetragonula carbonaria and Austroplebeia australis",2022,Scopus,Multiple,Multiple,Austroplebeia; Tetragonula,Indo-Australasian,Hypotrigonina,Indo-Australasian,Hypotrigonina,Austroplebeia; Tetragonula,2,INTERNATIONAL JOURNAL OF SYSTEMATIC AND EVOLUTIONARY MICROBIOLOGY,10.1099/ijsem.0.005588
