year,topic,mean_prevalence,n_documents,short_label,prevalence_smooth
2009,4,0.0024230459739012803,15,T4: mitogenome / rearrangement / heteroplasmy,0.04291866412199028
2010,4,0.00630089874166396,17,T4: mitogenome / rearrangement / heteroplasmy,0.006205137459735564
2011,4,0.009891467663641452,11,T4: mitogenome / rearrangement / heteroplasmy,0.012682807815665342
2012,4,0.021856057041690618,13,T4: mitogenome / rearrangement / heteroplasmy,0.034343090274905556
2013,4,0.07128174611938462,15,T4: mitogenome / rearrangement / heteroplasmy,0.05431327383207586
2014,4,0.06980201833515236,16,T4: mitogenome / rearrangement / heteroplasmy,0.04755202767790297
2015,4,0.0015723185791719303,5,T4: mitogenome / rearrangement / heteroplasmy,0.07226641216232264
2016,4,0.14542489957264368,10,T4: mitogenome / rearrangement / heteroplasmy,0.05356463936321406
2017,4,0.013696699937826575,12,T4: mitogenome / rearrangement / heteroplasmy,0.05565461443062058
2018,4,0.007842243781391482,16,T4: mitogenome / rearrangement / heteroplasmy,0.040730552427929015
2019,4,0.100652713564569,16,T4: mitogenome / rearrangement / heteroplasmy,0.09025345413741298
2020,4,0.16226540506627848,16,T4: mitogenome / rearrangement / heteroplasmy,0.1094482756355585
2021,4,0.06542670827582807,26,T4: mitogenome / rearrangement / heteroplasmy,0.09761530328581343
2022,4,0.06515379651533373,23,T4: mitogenome / rearrangement / heteroplasmy,0.07711435088318455
2023,4,0.10076254785839187,31,T4: mitogenome / rearrangement / heteroplasmy,0.10478214179455554
2024,4,0.14843008100994107,21,T4: mitogenome / rearrangement / heteroplasmy,0.13638951900002222
2025,4,0.1599759281317337,39,T4: mitogenome / rearrangement / heteroplasmy,0.16909615178712334
2026,4,0.19888244621969528,11,T4: mitogenome / rearrangement / heteroplasmy,0.19888244621969528
1950,5,0.028880908508306796,2,T5: karyotype / cytogenetic / cytogenetics,0.028880908508306796
1951,5,0,0,T5: karyotype / cytogenetic / cytogenetics,0.0096269695027689315
1952,5,0,0,T5: karyotype / cytogenetic / cytogenetics,0
1953,5,0,0,T5: karyotype / cytogenetic / cytogenetics,0
1954,5,0,0,T5: karyotype / cytogenetic / cytogenetics,0
1955,5,0,0,T5: karyotype / cytogenetic / cytogenetics,0
1956,5,0,0,T5: karyotype / cytogenetic / cytogenetics,0
1957,5,0,0,T5: karyotype / cytogenetic / cytogenetics,0
1958,5,0,0,T5: karyotype / cytogenetic / cytogenetics,0
1959,5,0,0,T5: karyotype / cytogenetic / cytogenetics,0
1960,5,0,0,T5: karyotype / cytogenetic / cytogenetics,0
1961,5,0,0,T5: karyotype / cytogenetic / cytogenetics,0
1962,5,0,0,T5: karyotype / cytogenetic / cytogenetics,0
1963,5,0,0,T5: karyotype / cytogenetic / cytogenetics,0
1964,5,0,0,T5: karyotype / cytogenetic / cytogenetics,0
1965,5,0,0,T5: karyotype / cytogenetic / cytogenetics,1.0646620084833808e-4
1966,5,3.1939860254501424e-4,1,T5: karyotype / cytogenetic / cytogenetics,1.0646620084833808e-4
1967,5,0,0,T5: karyotype / cytogenetic / cytogenetics,1.0646620084833808e-4
1968,5,0,0,T5: karyotype / cytogenetic / cytogenetics,0.012074108147238412
1969,5,0.03622232444171524,3,T5: karyotype / cytogenetic / cytogenetics,0.026501724862238864
1970,5,0.043282850145001356,1,T5: karyotype / cytogenetic / cytogenetics,0.026501724862238864
1971,5,0,0,T5: karyotype / cytogenetic / cytogenetics,0.033014567431873504
1972,5,0.055760852150619156,2,T5: karyotype / cytogenetic / cytogenetics,0.018586950716873052
1973,5,0,0,T5: karyotype / cytogenetic / cytogenetics,0.01906641696303376
1974,5,0.0014383987384821275,1,T5: karyotype / cytogenetic / cytogenetics,0.001853210215600157
1975,5,0.004121231908318344,2,T5: karyotype / cytogenetic / cytogenetics,0.003640754004072046
1976,5,0.005362631365415668,1,T5: karyotype / cytogenetic / cytogenetics,0.003161287757911337
1977,5,0,0,T5: karyotype / cytogenetic / cytogenetics,0.0017875437884718893
1978,5,0,0,T5: karyotype / cytogenetic / cytogenetics,0.08149474834402007
1979,5,0.2444842450320602,2,T5: karyotype / cytogenetic / cytogenetics,0.08149474834402007
1980,5,0,0,T5: karyotype / cytogenetic / cytogenetics,0.08149474834402007
1981,5,0,0,T5: karyotype / cytogenetic / cytogenetics,0
1982,5,0,0,T5: karyotype / cytogenetic / cytogenetics,0.018055010988411523
1983,5,0.054165032965234575,2,T5: karyotype / cytogenetic / cytogenetics,0.02036509187866666
1984,5,0.0069302426707654055,1,T5: karyotype / cytogenetic / cytogenetics,0.02036509187866666
1985,5,0,0,T5: karyotype / cytogenetic / cytogenetics,0.004028958142278084
1986,5,0.005156631756068847,3,T5: karyotype / cytogenetic / cytogenetics,0.0024894832689126077
1987,5,0.002311818050668976,3,T5: karyotype / cytogenetic / cytogenetics,0.29650693058804956
1988,5,0.8820523419574108,1,T5: karyotype / cytogenetic / cytogenetics,0.29716219252669457
1989,5,0.00712241757200406,1,T5: karyotype / cytogenetic / cytogenetics,0.2973618233517161
1990,5,0.0029107105257335244,1,T5: karyotype / cytogenetic / cytogenetics,0.004477912363617095
1991,5,0.0034006089931137027,4,T5: karyotype / cytogenetic / cytogenetics,0.10714408291185425
1992,5,0.31512092921671553,3,T5: karyotype / cytogenetic / cytogenetics,0.10617384606994307
1993,5,0,0,T5: karyotype / cytogenetic / cytogenetics,0.10592978608524074
