"ID","Nome científico","Gênero","Subgênero","Epíteto específico","Status da espécie","Região/fauna","Subtribo","n_articles_ai_studied_species","n_candidate_articles_species","studied_article_ids","studied_titles"
428,"Trigona spinipes","Trigona","Trigona","spinipes","Extante","Neotropical / Novo Mundo","Meliponina",5,5,"81; 88; 187; 195; 375","Isolation and characterization of ten microsatellite loci in stingless bee Trigona spinipes (Apidae: Meliponini); Viruses in Brazilian stingless bees; Cytogenetic Analysis in Trigona spinipes Fabricius (Hymenoptera, Meliponina) Reveals Intraspecific Variation; Bacterial communities of indoor surface of stingless bee nests; Karyotypic variation in the stingless bee Trigona spinipes (Hymenoptera: Apidae: Meliponini) from different geographical regions of Brazil"
429,"Trigona truculenta","Trigona","Trigona","truculenta","Extante","Neotropical / Novo Mundo","Meliponina",1,1,"181","Comparative cytogenetic analysis reveals chromosomal variability in five stingless bees of the genus Trigona (Apidae, Apinae, Meliponini)"
430,"Trigonisca euclydiana","Trigonisca","Celetrigona","euclydiana","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
431,"Trigonisca hirsuticornis","Trigonisca","Celetrigona","hirsuticornis","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
432,"Trigonisca longicornis","Trigonisca","Celetrigona","longicornis","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
433,"Trigonisca manauara","Trigonisca","Celetrigona","manauara","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
434,"Trigonisca crispula","Trigonisca","Exochotrigona","crispula","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
435,"Trigonisca pusilla","Trigonisca","Exochotrigona","pusilla","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
436,"Trigonisca gracilis","Trigonisca","Leurotrigona","gracilis","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
437,"Trigonisca muelleri","Trigonisca","Leurotrigona","muelleri","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
438,"Trigonisca atomaria","Trigonisca","Trigonisca","atomaria","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
439,"Trigonisca azteca","Trigonisca","Trigonisca","azteca","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
440,"Trigonisca bidentata","Trigonisca","Trigonisca","bidentata","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
441,"Trigonisca browni","Trigonisca","Trigonisca","browni","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
442,"Trigonisca buyssoni","Trigonisca","Trigonisca","buyssoni","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
443,"Trigonisca chachapoya","Trigonisca","Trigonisca","chachapoya","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
444,"Trigonisca clavicornis","Trigonisca","Trigonisca","clavicornis","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
445,"Trigonisca coephloei","Trigonisca","Trigonisca","coephloei","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
446,"Trigonisca discolor","Trigonisca","Trigonisca","discolor","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
447,"Trigonisca dobzhanskyi","Trigonisca","Trigonisca","dobzhanskyi","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
448,"Trigonisca duckei","Trigonisca","Trigonisca","duckei","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
449,"Trigonisca extrema","Trigonisca","Trigonisca","extrema","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
450,"Trigonisca flavicans","Trigonisca","Trigonisca","flavicans","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
451,"Trigonisca fraissei","Trigonisca","Trigonisca","fraissei","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
452,"Trigonisca graeffei","Trigonisca","Trigonisca","graeffei","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
453,"Trigonisca hirticornis","Trigonisca","Trigonisca","hirticornis","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
454,"Trigonisca intermedia","Trigonisca","Trigonisca","intermedia","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
455,"Trigonisca longitarsis","Trigonisca","Trigonisca","longitarsis","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
456,"Trigonisca martinezi","Trigonisca","Trigonisca","martinezi","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
457,"Trigonisca maya","Trigonisca","Trigonisca","maya","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
458,"Trigonisca mendersoni","Trigonisca","Trigonisca","mendersoni","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
459,"Trigonisca mepecheu","Trigonisca","Trigonisca","mepecheu","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
460,"Trigonisca meridionalis","Trigonisca","Trigonisca","meridionalis","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
461,"Trigonisca mixteca","Trigonisca","Trigonisca","mixteca","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
462,"Trigonisca moratoi","Trigonisca","Trigonisca","moratoi","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
463,"Trigonisca nataliae","Trigonisca","Trigonisca","nataliae","Extante","Neotropical / Novo Mundo","Meliponina",1,1,"40","The complete mitochondrial genome of Trigonisca nataliae (Hymenoptera, Apidae) assemblage reveals heteroplasmy in the control region"
464,"Trigonisca pediculana","Trigonisca","Trigonisca","pediculana","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
465,"Trigonisca pipioli","Trigonisca","Trigonisca","pipioli","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
466,"Trigonisca rondoni","Trigonisca","Trigonisca","rondoni","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
467,"Trigonisca roubiki","Trigonisca","Trigonisca","roubiki","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
468,"Trigonisca sachamiski","Trigonisca","Trigonisca","sachamiski","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
469,"Trigonisca schulthessi","Trigonisca","Trigonisca","schulthessi","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
470,"Trigonisca tavaresi","Trigonisca","Trigonisca","tavaresi","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
471,"Trigonisca townsendi","Trigonisca","Trigonisca","townsendi","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
472,"Trigonisca unidentata","Trigonisca","Trigonisca","unidentata","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
473,"Trigonisca variegatifrons","Trigonisca","Trigonisca","variegatifrons","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
474,"Trigonisca vitrifrons","Trigonisca","Trigonisca","vitrifrons","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
475,"Axestotrigona cameroonensis","Axestotrigona","Atrichotrigona","cameroonensis","Extante","Afrotropical","Hypotrigonina",0,0,"",""
476,"Axestotrigona simpsoni","Axestotrigona","Atrichotrigona","simpsoni","Extante","Afrotropical","Hypotrigonina",0,0,"",""
477,"Axestotrigona erythra","Axestotrigona","Axestotrigona","erythra","Extante","Afrotropical","Hypotrigonina",0,0,"",""
478,"Axestotrigona ferruginea","Axestotrigona","Axestotrigona","ferruginea","Extante","Afrotropical","Hypotrigonina",1,1,"341","Taxonomic identification of stingless bees (Hymenoptera: Apidae: Meliponini) from selected locations of Tanzania using DNA barcoding"
479,"Axestotrigona kitingae","Axestotrigona","Axestotrigona","kitingae","Extinta","Afrotropical","Hypotrigonina",0,0,"",""
480,"Axestotrigona togoensis","Axestotrigona","Axestotrigona","togoensis","Extante","Afrotropical","Hypotrigonina",0,0,"",""
481,"Dactylurina schmidti","Dactylurina","NA","schmidti","Extante","Afrotropical","Hypotrigonina",2,2,"27; 341","Identification of stingless bees (Hymenoptera: Apidae) in Kenya using morphometrics and DNA barcoding; [Identificación de las abejas sin aguijón (Hymenoptera: Apidae) en Kenia usando morfometría y ADN barcoding (código de barras molecular)]; Taxonomic identification of stingless bees (Hymenoptera: Apidae: Meliponini) from selected locations of Tanzania using DNA barcoding"
482,"Dactylurina staudingeri","Dactylurina","NA","staudingeri","Extante","Afrotropical","Hypotrigonina",0,0,"",""
483,"Hypotrigona araujoi","Hypotrigona","NA","araujoi","Extante","Afrotropical","Hypotrigonina",2,2,"180; 204","Resolving taxonomic ambiguity and cryptic speciation of Hypotrigona species through morphometrics and DNA barcoding; [Resolviendo la ambigüedad taxonómica y la especiación críptica de las especies de Hypotrigona a través de la morfometría y el código de barras de ADN]; Taxonomic patterns of host plants and its impact on honey properties by two sympatric Afrotropical stingless bee species in Zanzibar (Tanzania)"
484,"Hypotrigona gribodoi","Hypotrigona","NA","gribodoi","Extante","Afrotropical","Hypotrigonina",3,3,"122; 180; 341","Black queen cell virus detected in endemic African stingless bees (Apidae: Meliponinae); Resolving taxonomic ambiguity and cryptic speciation of Hypotrigona species through morphometrics and DNA barcoding; [Resolviendo la ambigüedad taxonómica y la especiación críptica de las especies de Hypotrigona a través de la morfometría y el código de barras de ADN]; Taxonomic identification of stingless bees (Hymenoptera: Apidae: Meliponini) from selected locations of Tanzania using DNA barcoding"
485,"Hypotrigona kleineri","Hypotrigona","NA","kleineri","Extinta","Afrotropical","Hypotrigonina",0,0,"",""
486,"Hypotrigona ruspolii","Hypotrigona","NA","ruspolii","Extante","Afrotropical","Hypotrigonina",1,1,"180","Resolving taxonomic ambiguity and cryptic speciation of Hypotrigona species through morphometrics and DNA barcoding; [Resolviendo la ambigüedad taxonómica y la especiación críptica de las especies de Hypotrigona a través de la morfometría y el código de barras de ADN]"
487,"Hypotrigona squamuligera","Hypotrigona","NA","squamuligera","Extante","Afrotropical","Hypotrigonina",0,0,"",""
488,"Liotrigona cubiceps","Liotrigona","Cleptotrigona","cubiceps","Extante","Afrotropical","Hypotrigonina",0,0,"",""
489,"Liotrigona baleensis","Liotrigona","Liotrigona","baleensis","Extante","Afrotropical","Hypotrigonina",0,0,"",""
490,"Liotrigona betsimisaraka","Liotrigona","Liotrigona","betsimisaraka","Extante","Afrotropical","Hypotrigonina",0,0,"",""
491,"Liotrigona bitika","Liotrigona","Liotrigona","bitika","Extante","Afrotropical","Hypotrigonina",1,1,"211","Combining morphology and DNA barcoding resolves the taxonomy of Western Malagasy Liotrigona Moure, 1961 (Hymenoptera: Apidae: Meliponini)"
492,"Liotrigona bottegoi","Liotrigona","Liotrigona","bottegoi","Extante","Afrotropical","Hypotrigonina",0,0,"",""
493,"Liotrigona bouyssoui","Liotrigona","Liotrigona","bouyssoui","Extante","Afrotropical","Hypotrigonina",0,0,"",""
494,"Liotrigona chromensis","Liotrigona","Liotrigona","chromensis","Extante","Afrotropical","Hypotrigonina",0,0,"",""
495,"Liotrigona gabonensis","Liotrigona","Liotrigona","gabonensis","Extante","Afrotropical","Hypotrigonina",0,0,"",""
496,"Liotrigona kinzelbachi","Liotrigona","Liotrigona","kinzelbachi","Extante","Afrotropical","Hypotrigonina",1,1,"211","Combining morphology and DNA barcoding resolves the taxonomy of Western Malagasy Liotrigona Moure, 1961 (Hymenoptera: Apidae: Meliponini)"
497,"Liotrigona madecassa","Liotrigona","Liotrigona","madecassa","Extante","Afrotropical","Hypotrigonina",1,1,"211","Combining morphology and DNA barcoding resolves the taxonomy of Western Malagasy Liotrigona Moure, 1961 (Hymenoptera: Apidae: Meliponini)"
498,"Liotrigona mahafalya","Liotrigona","Liotrigona","mahafalya","Extante","Afrotropical","Hypotrigonina",0,0,"",""
499,"Liotrigona nilssoni","Liotrigona","Liotrigona","nilssoni","Extante","Afrotropical","Hypotrigonina",0,0,"",""
500,"Liotrigona parvula","Liotrigona","Liotrigona","parvula","Extante","Afrotropical","Hypotrigonina",0,0,"",""
501,"Liotrigona vetula","Liotrigona","Liotrigona","vetula","Extinta","Afrotropical","Hypotrigonina",0,0,"",""
502,"Liotrigona voeltzkovi","Liotrigona","Liotrigona","voeltzkovi","Extante","Afrotropical","Hypotrigonina",0,0,"",""
503,"Liotrigona aethiopica","Liotrigona","Tapheiotrigona","aethiopica","Extinta","Afrotropical","Hypotrigonina",0,0,"",""
504,"Meliplebeia nebulata","Meliplebeia","Apotrigona","nebulata","Extante","Afrotropical","Hypotrigonina",0,0,"",""
505,"Meliplebeia beccarii","Meliplebeia","Meliplebeia","beccarii","Extante","Afrotropical","Hypotrigonina",1,1,"338","The Complete Mitochondrial Genome of the Stingless Bee Meliplebeia beccarii (Hymenoptera: Apidae: Meliponini) and Insights into Unusual Gene Rearrangement"
506,"Meliplebeia gambiana","Meliplebeia","Meliplebeia","gambiana","Extante","Afrotropical","Hypotrigonina",0,0,"",""
507,"Meliplebeia roubiki","Meliplebeia","Meliplebeia","roubiki","Extante","Afrotropical","Hypotrigonina",0,0,"",""
508,"Meliponula bocandei","Meliponula","NA","bocandei","Extante","Afrotropical","Hypotrigonina",2,2,"27; 122","Identification of stingless bees (Hymenoptera: Apidae) in Kenya using morphometrics and DNA barcoding; [Identificación de las abejas sin aguijón (Hymenoptera: Apidae) en Kenia usando morfometría y ADN barcoding (código de barras molecular)]; Black queen cell virus detected in endemic African stingless bees (Apidae: Meliponinae)"
509,"Plebeiella griswoldorum","Plebeiella","NA","griswoldorum","Extante","Afrotropical","Hypotrigonina",0,0,"",""
510,"Plebeiella lendliana","Plebeiella","NA","lendliana","Extante","Afrotropical","Hypotrigonina",0,0,"",""
511,"Plebeina armata","Plebeina","NA","armata","Extante","Afrotropical","Hypotrigonina",1,1,"341","Taxonomic identification of stingless bees (Hymenoptera: Apidae: Meliponini) from selected locations of Tanzania using DNA barcoding"
512,"Austroplebeia fujianica","Austroplebeia","Anteplebeina","fujianica","Extinta","Indomalaia / Papuásia / Austrália","Hypotrigonina",0,0,"",""
513,"Austroplebeia australis","Austroplebeia","Austroplebeia","australis","Extante","Indomalaia / Papuásia / Austrália","Hypotrigonina",4,4,"215; 226; 270; 368","Apilactobacillus apisilvae sp. nov., Nicolia spurrieriana gen. nov. sp. nov., Bombilactobacillus folatiphilus sp. nov. and Bombilactobacillus thymidiniphilus sp. nov., four new lactic acid bacterial isolates from stingless bees Tetragonula carbonaria and Austroplebeia australis; Microbial communities of three sympatric Australian stingless bee species; Cytogenetic characterization of Austroplebeia australis: evolutionary hints from a stingless bee outside the Neotropical region; Microbial diversity in stingless bee gut is linked to host wing size and influenced by the environment"
514,"Austroplebeia cassiae","Austroplebeia","Austroplebeia","cassiae","Extante","Indomalaia / Papuásia / Austrália","Hypotrigonina",0,0,"",""
515,"Austroplebeia cincta","Austroplebeia","Austroplebeia","cincta","Extante","Indomalaia / Papuásia / Austrália","Hypotrigonina",0,0,"",""
516,"Austroplebeia essingtoni","Austroplebeia","Austroplebeia","essingtoni","Extante","Indomalaia / Papuásia / Austrália","Hypotrigonina",0,0,"",""
517,"Austroplebeia magna","Austroplebeia","Austroplebeia","magna","Extante","Indomalaia / Papuásia / Austrália","Hypotrigonina",0,0,"",""
518,"Ebaiotrigona carpenteri","Ebaiotrigona","NA","carpenteri","Extante","Indomalaia / Papuásia / Austrália","Hypotrigonina",0,0,"",""
519,"Geniotrigona lacteifasciata","Geniotrigona","NA","lacteifasciata","Extante","Indomalaia / Papuásia / Austrália","Hypotrigonina",0,0,"",""
520,"Geniotrigona thoracica","Geniotrigona","NA","thoracica","Extante","Indomalaia / Papuásia / Austrália","Hypotrigonina",3,5,"156; 158; 159","Complete mitochondrial genome of the stingless bee Geniotrigona thoracica (Hymenoptera, Apidae, Meliponini): presence of genome duplication, heteroplasmy and inverted repeats; Antimicrobial activity and antibiotic resistance of lactic acid bacteria isolated from Malaysian stingless bee's gut; Human-mediated dispersal of Geniotrigona thoracica (Apidae: Meliponini) colonies promotes high genetic diversity and reduces population structuring in managed populations"
521,"Heterotrigona hobbyi","Heterotrigona","Borneotrigona","hobbyi","Extante","Indomalaia / Papuásia / Austrália","Hypotrigonina",0,0,"",""
522,"Heterotrigona bakeri","Heterotrigona","Heterotrigona","bakeri","Extante","Indomalaia / Papuásia / Austrália","Hypotrigonina",2,2,"186; 381","Potential DNA Barcoding of Local Stingless Honeybee (Tantadan) from Kiulu, Sabah using 28S Ribosomal DNA; A molecular phylogeny of the Old World stingless bees (Hymenoptera: Apidae: Meliponini) and the non-monophyly of the large genus Trigona"
523,"Heterotrigona erythrogastra","Heterotrigona","Heterotrigona","erythrogastra","Extante","Indomalaia / Papuásia / Austrália","Hypotrigonina",1,1,"138","Stingless bee honey: Evaluating its antibacterial activity and bacterial diversity"
524,"Heterotrigona itama","Heterotrigona","Heterotrigona","itama","Extante","Indomalaia / Papuásia / Austrália","Hypotrigonina",24,27,"35; 104; 110; 116; 123; 131; 147; 158; 162; 186; 199; 233; 237; 245; 250; 289; 292; 312; 316; 318; 319; 332; 343; 370","Quantification of bioactive components and evaluation of microbial community and antibacterial activity from Heterotrigona itama and Tetrigona binghami honeys; Effect of symbiotic bee fungus on survival of stingless bee Heterotrigona itama larvae; Complete Mitochondrial Genome Characterization and Phylogenomics of the Stingless Bee, Heterotrigona itama (Apidae: Meliponini); Heteroplasmy, inverted repeats, and genetic differentiation of the stingless bee Heterotrigona itama (Hymenoptera, Apidae, Meliponini) mitochondrial genome; Species description, morphometric measurement and molecular identification of stingless bees (Hymenoptera: Apidae: Meliponini) in meliponiculture industry in West Java Province, Indonesia; Probiotic properties of bacteria isolated from bee bread of stingless bee Heterotrigona itama; Functional orthologs of honeybee CYP6AQ1 in stingless bees degrade the butenolide insecticide flupyradifurone; Antimicrobial activity and antibiotic resistance of lactic acid bacteria isolated from Malaysian stingless bee's gut; Effect of bee species on the physicochemical, bioactive, and microbiological properties of longan honey in Thailand; Potential DNA Barcoding of Local Stingless Honeybee (Tantadan) from Kiulu, Sabah using 28S Ribosomal DNA; Exploring the Potential of Alcohol-Fermenting Yeast Isolated from Heterotrigona itama Stingless Bees for Beverage Production; Genetic structure of the commercial stingless bee Heterotrigona itama (Apidae: Meliponini) in Thailand; Characterisation of probiotic potential and whole genome analysis of lactic acid bacteria isolated from Tetragonula Laeviceps and Heterotrigona Itama bee bread; Bacterial Community in Apis cerana and Heterotrigona itama Honey Using a Metabarcoding Approach; Metabarcoding in diet assessment of heterotrigona itama based on trnl marker towards domestication program; The first ITS2 sequence data set of eDNA from honey of Malaysian giant honeybees (Apis dorsata) and stingless bees (Heterotrigona itama) reveals plant species diversity; Phylogenetic relationships of heterotrigona itama in Malaysia based on COI DNA sequences; Identification of Lactobacillus spp. and Fructobacillus spp. isolated from fresh Heterotrigona itama honey and their antagonistic activities against clinical pathogenic bacteria; [Identificación de Lactobacillus spp. y Fructobacillus spp. aislados de la miel fresca de Heterotrigona itama y sus actividades antagónicas contra las bacterias patógenas clínicas]; A study on the genetic variability of stingless bees in terengganu by using random amplified polymorphic dna (Rapd) markers: A preliminary assessment; Probiotic Potential of Lactic Acid Bacteria from Honey of Three Different Type Honeybees; [Potensi Probiotik Bakteri Asam Laktat Asal Madu dari Tiga Jenis Lebah yang Berbeda]; ..."
525,"Heterotrigona flaviventris","Heterotrigona","Platytrigona","flaviventris","Extante","Indomalaia / Papuásia / Austrália","Hypotrigonina",0,0,"",""
526,"Heterotrigona keyensis","Heterotrigona","Platytrigona","keyensis","Extante","Indomalaia / Papuásia / Austrália","Hypotrigonina",0,0,"",""
527,"Heterotrigona lamingtonia","Heterotrigona","Platytrigona","lamingtonia","Extante","Indomalaia / Papuásia / Austrália","Hypotrigonina",0,0,"",""
528,"Heterotrigona planifrons","Heterotrigona","Platytrigona","planifrons","Extante","Indomalaia / Papuásia / Austrália","Hypotrigonina",0,0,"",""
529,"Heterotrigona paradisaea","Heterotrigona","Sahulotrigona","paradisaea","Extante","Indomalaia / Papuásia / Austrália","Hypotrigonina",0,0,"",""
530,"Heterotrigona taraxis","Heterotrigona","Sahulotrigona","taraxis","Extante","Indomalaia / Papuásia / Austrália","Hypotrigonina",0,0,"",""
531,"Heterotrigona tricholoma","Heterotrigona","Sahulotrigona","tricholoma","Extante","Indomalaia / Papuásia / Austrália","Hypotrigonina",0,0,"",""
532,"Heterotrigona lieftincki","Heterotrigona","Sundatrigona","lieftincki","Extante","Indomalaia / Papuásia / Austrália","Hypotrigonina",0,0,"",""
533,"Heterotrigona moorei","Heterotrigona","Sundatrigona","moorei","Extante","Indomalaia / Papuásia / Austrália","Hypotrigonina",0,0,"",""
534,"Homotrigona aliceae","Homotrigona","Homotrigona","aliceae","Extante","Indomalaia / Papuásia / Austrália","Hypotrigonina",0,0,"",""
535,"Homotrigona anamitica","Homotrigona","Homotrigona","anamitica","Extante","Indomalaia / Papuásia / Austrália","Hypotrigonina",0,0,"",""
536,"Homotrigona fimbriata","Homotrigona","Homotrigona","fimbriata","Extante","Indomalaia / Papuásia / Austrália","Hypotrigonina",1,1,"138","Stingless bee honey: Evaluating its antibacterial activity and bacterial diversity"
537,"Homotrigona lutea","Homotrigona","Homotrigona","lutea","Extante","Indomalaia / Papuásia / Austrália","Hypotrigonina",0,0,"",""
538,"Homotrigona canifrons","Homotrigona","Lophotrigona","canifrons","Extante","Indomalaia / Papuásia / Austrália","Hypotrigonina",0,0,"",""
539,"Homotrigona haematoptera","Homotrigona","Odontotrigona","haematoptera","Extante","Indomalaia / Papuásia / Austrália","Hypotrigonina",0,0,"",""
540,"Homotrigona apicalis","Homotrigona","Tetrigona","apicalis","Extante","Indomalaia / Papuásia / Austrália","Hypotrigonina",0,0,"",""
541,"Homotrigona binghami","Homotrigona","Tetrigona","binghami","Extante","Indomalaia / Papuásia / Austrália","Hypotrigonina",0,0,"",""
542,"Homotrigona melanoleuca","Homotrigona","Tetrigona","melanoleuca","Extante","Indomalaia / Papuásia / Austrália","Hypotrigonina",0,0,"",""
543,"Homotrigona peninsularis","Homotrigona","Tetrigona","peninsularis","Extante","Indomalaia / Papuásia / Austrália","Hypotrigonina",0,0,"",""
544,"Homotrigona vidua","Homotrigona","Tetrigona","vidua","Extante","Indomalaia / Papuásia / Austrália","Hypotrigonina",0,0,"",""
545,"Lepidotrigona amruthae","Lepidotrigona","NA","amruthae","Extante","Indomalaia / Papuásia / Austrália","Hypotrigonina",0,0,"",""
546,"Lepidotrigona arcifera","Lepidotrigona","NA","arcifera","Extante","Indomalaia / Papuásia / Austrália","Hypotrigonina",3,3,"7; 175; 286","TAXONOMIC STATUS OF STINGLESS BEE LEPIDOTRIGONA ARCIFERA (HYMENOPTERA: MELIPONINI) FROM THE SOUTHWEST CHINA - TIBETAN PLATEAU; Structural Variations in Complete Mitogenome of Stingless Bees Serve as Auxiliary Molecular Markers for Generic Systematics; Diagnostics of wild stingless bees from northeast india"
547,"Lepidotrigona doipaensis","Lepidotrigona","NA","doipaensis","Extante","Indomalaia / Papuásia / Austrália","Hypotrigonina",0,0,"",""
548,"Lepidotrigona flavibasis","Lepidotrigona","NA","flavibasis","Extante","Indomalaia / Papuásia / Austrália","Hypotrigonina",3,3,"7; 175; 203","TAXONOMIC STATUS OF STINGLESS BEE LEPIDOTRIGONA ARCIFERA (HYMENOPTERA: MELIPONINI) FROM THE SOUTHWEST CHINA - TIBETAN PLATEAU; Structural Variations in Complete Mitogenome of Stingless Bees Serve as Auxiliary Molecular Markers for Generic Systematics; The Complete Mitochondrial Genome of Lepidotrigona flavibasis (Hymenoptera: Meliponini) and High Gene Rearrangement in Lepidotrigona Mitogenomes"
549,"Lepidotrigona hoozana","Lepidotrigona","NA","hoozana","Extante","Indomalaia / Papuásia / Austrália","Hypotrigonina",0,0,"",""
550,"Lepidotrigona javanica","Lepidotrigona","NA","javanica","Extante","Indomalaia / Papuásia / Austrália","Hypotrigonina",0,0,"",""
551,"Lepidotrigona latebalteata","Lepidotrigona","NA","latebalteata","Extante","Indomalaia / Papuásia / Austrália","Hypotrigonina",0,0,"",""
552,"Lepidotrigona latipes","Lepidotrigona","NA","latipes","Extante","Indomalaia / Papuásia / Austrália","Hypotrigonina",0,0,"",""
553,"Lepidotrigona nitidiventris","Lepidotrigona","NA","nitidiventris","Extante","Indomalaia / Papuásia / Austrália","Hypotrigonina",0,0,"",""
554,"Lepidotrigona palavanica","Lepidotrigona","NA","palavanica","Extante","Indomalaia / Papuásia / Austrália","Hypotrigonina",0,0,"",""
555,"Lepidotrigona rajithae","Lepidotrigona","NA","rajithae","Extante","Indomalaia / Papuásia / Austrália","Hypotrigonina",0,0,"",""
556,"Lepidotrigona satun","Lepidotrigona","NA","satun","Extante","Indomalaia / Papuásia / Austrália","Hypotrigonina",0,0,"",""
557,"Lepidotrigona sikkimensis","Lepidotrigona","NA","sikkimensis","Extante","Indomalaia / Papuásia / Austrália","Hypotrigonina",0,0,"",""
558,"Lepidotrigona terminata","Lepidotrigona","NA","terminata","Extante","Indomalaia / Papuásia / Austrália","Hypotrigonina",9,9,"6; 48; 106; 123; 175; 186; 203; 223; 310","Stingless bees (Hymenoptera: Apidae) in South and West Sulawesi, Indonesia: morphology, nest structure, and molecular characteristics; The composition of bacteria in gut and beebread of stingless bees (Apidae: Meliponini) from tropics Yunnan, China; Distinct fungal microbiomes of two Thai commercial stingless bee species, Lepidotrigona terminata and Tetragonula pagdeni suggest a possible niche separation in a shared habitat; Species description, morphometric measurement and molecular identification of stingless bees (Hymenoptera: Apidae: Meliponini) in meliponiculture industry in West Java Province, Indonesia; Structural Variations in Complete Mitogenome of Stingless Bees Serve as Auxiliary Molecular Markers for Generic Systematics; Potential DNA Barcoding of Local Stingless Honeybee (Tantadan) from Kiulu, Sabah using 28S Ribosomal DNA; The Complete Mitochondrial Genome of Lepidotrigona flavibasis (Hymenoptera: Meliponini) and High Gene Rearrangement in Lepidotrigona Mitogenomes; Complete mitochondrial genome of the stingless bee Lepidotrigona terminata (Hymenoptera: Meliponinae) and phylogenetic analysis; Cultured-dependent and cultured-independent study of bacteria associated with Thai commercial stingless bee Lepidotrigona terminata"
559,"Lepidotrigona thenzawlensis","Lepidotrigona","NA","thenzawlensis","Extante","Indomalaia / Papuásia / Austrália","Hypotrigonina",0,0,"",""
560,"Lepidotrigona trochanterica","Lepidotrigona","NA","trochanterica","Extante","Indomalaia / Papuásia / Austrália","Hypotrigonina",0,0,"",""
561,"Lepidotrigona ventralis","Lepidotrigona","NA","ventralis","Extante","Indomalaia / Papuásia / Austrália","Hypotrigonina",1,1,"48","The composition of bacteria in gut and beebread of stingless bees (Apidae: Meliponini) from tropics Yunnan, China"
562,"Lisotrigona cacciae","Lisotrigona","NA","cacciae","Extante","Indomalaia / Papuásia / Austrália","Hypotrigonina",0,0,"",""
563,"Lisotrigona furva","Lisotrigona","NA","furva","Extante","Indomalaia / Papuásia / Austrália","Hypotrigonina",0,0,"",""
564,"Papuatrigona atricornis","Papuatrigona","NA","atricornis","Extante","Indomalaia / Papuásia / Austrália","Hypotrigonina",0,0,"",""
565,"Pariotrigona pendleburyi","Pariotrigona","NA","pendleburyi","Extante","Indomalaia / Papuásia / Austrália","Hypotrigonina",0,0,"",""
566,"Tetragonula atripes","Tetragonula","Tetragonilla","atripes","Extante","Indomalaia / Papuásia / Austrália","Hypotrigonina",0,0,"",""
567,"Tetragonula collina","Tetragonula","Tetragonilla","collina","Extante","Indomalaia / Papuásia / Austrália","Hypotrigonina",0,0,"",""
568,"Tetragonula fuscibasis","Tetragonula","Tetragonilla","fuscibasis","Extante","Indomalaia / Papuásia / Austrália","Hypotrigonina",0,0,"",""
569,"Tetragonula rufibasalis","Tetragonula","Tetragonilla","rufibasalis","Extante","Indomalaia / Papuásia / Austrália","Hypotrigonina",0,0,"",""
